key-value,latency,ops/sec,throughput(MB/s)
k16v16,15.47,355263.2,10.84
k16v32,16.4,336020.2,15.36
k16v64,16.33,336695.2,25.68
k16v128,15.92,342180.8,46.96
k16v256,16.86,324038.0,84.06
k16v512,20.75,261349.6,131.6
k16v1024,31.13,177834.6,176.36
k16v2048,54.45,103268.4,203.26
k16v3072,92.52,65963.8,194.24
k16v4096,153.98,40672.2,159.5
k16v5120,145.96,40132.4,196.56
k16v6144,175.75,33100.6,194.46
k16v7168,294.86,20077.6,137.56
k16v8192,329.08,17946.6,140.5
k128v16,17.39,307287.4,42.2
k128v32,17.14,315374.8,48.12
k128v64,17.38,311577.8,57.04
k128v128,17.66,306099.6,74.72
k128v256,19.28,278535.4,102.02
k128v512,23.9,221660.2,135.28
k128v1024,33.0,162975.4,179.04
k128v2048,73.73,83075.8,172.42
k128v3072,87.98,64146.6,195.76
k128v4096,118.98,49470.0,199.28
k128v5120,151.94,38640.6,193.4
k128v6144,198.09,30146.4,180.32
k128v7168,241.37,25032.6,174.18
k128v8192,414.42,14454.0,114.7
k256v16,18.83,288061.6,74.72
k256v32,21.17,257004.6,70.6
k256v64,23.02,236448.0,72.16
k256v128,21.56,253632.0,92.88
k256v256,23.66,225811.8,110.26
k256v512,29.01,184449.6,135.1
k256v1024,41.03,131444.6,160.46
k256v2048,89.94,64397.0,141.5
k256v3072,144.96,39443.2,125.18
k256v4096,214.34,27166.4,112.76
k256v5120,260.51,22619.2,115.96
k256v6144,297.12,19598.2,119.62
k256v7168,366.59,16183.6,114.58
k256v8192,417.42,14295.6,115.18
k1024v16,38.39,139896.8,138.76
k1024v32,46.11,117150.4,117.98
k1024v64,46.88,115638.0,119.98
k1024v128,47.07,115064.8,126.44
k1024v256,48.59,111236.6,135.78
k1024v512,65.7,82659.6,121.08
k1024v1024,91.35,65364.8,127.66
k1024v2048,133.33,43796.0,128.32
k1024v3072,168.09,33744.4,131.8
k1024v4096,222.37,25852.8,126.26
k1024v5120,239.23,24634.0,144.36
k1024v6144,237.74,24772.2,169.34
k1024v7168,279.68,20813.2,162.62
k1024v8192,310.95,19100.0,167.88
